commitment_number,date,supplier_name,service,chapter,article,object,committed_amount,mandated_amount,remaining_amount,contract_reference,status
ENG-2025-001,2025-01-15,ENGIE,Bâtiments,011,6132,Contrat gaz chauffage,48000,45600,2400,MC-2023-045,open
ENG-2025-002,2025-01-20,VEOLIA EAU,Bâtiments,011,611,Gestion eau potable,35000,35000,0,MC-2024-012,closed
ENG-2025-003,2025-02-01,SAUR SERVICES,Bâtiments,011,615,Maintenance chaudières,28500,21000,7500,MC-2024-018,open
ENG-2025-004,2025-02-10,COLAS SUD-OUEST,Voirie,21,2151,Réfection voirie rue Gambetta,185000,125000,60000,MC-2024-056,open
ENG-2025-005,2025-02-14,BOUYGUES CONSTRUCTION,Bâtiments,23,2312,Extension école Pasteur - lot 1,520000,250000,270000,MC-2024-078,open
ENG-2025-006,2025-02-28,VINCI CONSTRUCTION,Bâtiments,23,2312,Extension école Pasteur - lot 2,380000,200000,180000,MC-2024-079,open
ENG-2025-007,2025-03-05,ORANGE BUSINESS,DSI,011,611,Téléphonie et réseaux,22000,18500,3500,MC-2023-102,open
ENG-2025-008,2025-03-10,MICROSOFT FRANCE,DSI,20,2051,Licences Microsoft 365,18500,18500,0,MC-2024-034,closed
ENG-2025-009,2025-03-15,SODEXO,Services,011,611,Restauration scolaire,145000,98000,47000,MC-2024-089,open
ENG-2025-010,2025-03-20,AXA COLLECTIVITES,Bâtiments,011,6161,Assurances flotte véhicules,32000,32000,0,MC-2023-071,closed
ENG-2025-011,2025-03-25,CABINET EXPERTISE AUDIT,Direction Générale,011,617,Audit organisationnel,24000,0,24000,,open
ENG-2025-012,2025-04-01,ENGIE,Bâtiments,011,6132,Contrat electricité,62000,59500,2500,MC-2023-045,open
ENG-2025-013,2025-04-05,SEDITEC,DSI,20,2182,Serveurs et équipements,45000,45000,0,MC-2025-001,closed
ENG-2025-014,2025-04-10,DALKIA,Bâtiments,011,615,Maintenance CVC gymnase,38000,28500,9500,MC-2024-023,open
ENG-2025-015,2025-04-15,COLAS SUD-OUEST,Voirie,23,2315,Réseaux eaux pluviales,245000,85000,160000,MC-2024-056,open
ENG-2025-016,2025-04-20,CABINET JURIDIQUE MARTIN,Direction Générale,011,617,Assistance juridique annuelle,15000,12000,3000,MC-2024-045,open
ENG-2025-017,2025-04-25,BORIE PAYSAGE,Services,011,611,Entretien espaces verts,58000,42000,16000,MC-2024-067,open
ENG-2025-018,2025-05-02,CLEANTECH,Voirie,011,611,Collecte et traitement déchets,92000,68000,24000,MC-2023-088,open
ENG-2025-019,2025-05-08,ENGIE,Bâtiments,011,615,Maintenance installations électriques,18500,14000,4500,MC-2023-045,open
ENG-2025-020,2025-05-12,SOPRA STERIA,DSI,011,611,Intégration logiciel finances,55000,0,55000,,open
ENG-2024-045,2024-09-10,GROUPAMA ASSURANCES,Bâtiments,011,6161,Assurance bâtiments communaux,28500,28500,0,MC-2022-034,closed
ENG-2024-046,2024-08-25,BUREAU D'ETUDES INGEO,Bâtiments,23,2312,Maîtrise d'œuvre école,48000,38000,10000,MC-2024-078,open
ENG-2024-047,2024-07-15,TRAITEMENT EAU SUD,Voirie,23,2315,Études réseau assainissement,32000,18000,14000,,open
ENG-2024-048,2024-06-20,CONSULTING RH PARTNERS,Direction Générale,011,617,Formation agents,12500,8500,4000,MC-2024-015,open
ENG-2024-049,2024-06-01,SECURITAS FRANCE,Bâtiments,011,611,Surveillance mairie,38000,28500,9500,MC-2023-055,open
ENG-2024-050,2024-05-15,CABINET CONSEIL FINANCES,Direction Générale,011,617,Accompagnement reforme budgetaire,42000,18000,24000,,open
ENG-2024-051,2024-04-28,SODEXO,Services,011,611,Restauration scolaire - complément,18000,18000,0,MC-2024-089,closed
ENG-2024-052,2024-04-10,BORIE PAYSAGE,Services,011,611,Entretien pelouses terrains sport,22000,15000,7000,MC-2024-067,open
ENG-2024-053,2024-03-22,COLAS SUD-OUEST,Voirie,21,2151,Trottoirs centre-ville,85000,85000,0,MC-2024-056,closed
ENG-2024-054,2024-03-05,PRINT EXPRESS,Direction Générale,011,6068,Impression communication municipale,8500,6200,2300,,open
